Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.8050434589385986,1,1
1,Verified_Result.Safe,0.7432949542999268,1,1
2,Verified_Result.Safe,0.6804325580596924,1,1
3,Verified_Result.Safe,0.7133612632751465,1,1
4,Verified_Result.Safe,0.6788244247436523,1,1
5,Verified_Result.Safe,0.6187164783477783,1,1
6,Verified_Result.Safe,0.6592397689819336,1,1
7,Verified_Result.UnSafe,0.07407879829406738,0,0
8,Verified_Result.Safe,0.6061196327209473,1,1
9,Verified_Result.Safe,0.6802647113800049,1,1
10,Verified_Result.Safe,0.5999352931976318,1,1
11,Verified_Result.UnSafe,0.06635260581970215,0,0
12,Verified_Result.Safe,0.8752493858337402,1,1
13,Verified_Result.Safe,1.6466739177703857,1,1
14,Verified_Result.Safe,1.0855951309204102,1,1
15,Verified_Result.UnSafe,0.07998514175415039,0,0
16,Verified_Result.Safe,0.6439075469970703,1,1
17,Verified_Result.Safe,0.5140655040740967,1,1
18,Verified_Result.Safe,0.5223350524902344,1,1
19,Verified_Result.Safe,0.5102941989898682,1,1
20,Verified_Result.Safe,0.5373034477233887,1,1
21,Verified_Result.Safe,0.5248575210571289,1,1
22,Verified_Result.Safe,0.5323395729064941,1,1
23,Verified_Result.Safe,0.5374865531921387,1,1
24,Verified_Result.Safe,0.5314185619354248,1,1
25,Verified_Result.Safe,0.5570173263549805,1,1
26,Verified_Result.Safe,0.547461986541748,1,1
27,Verified_Result.Safe,0.5337474346160889,1,1
28,Verified_Result.Safe,0.6704175472259521,1,1
29,Verified_Result.Safe,0.5982134342193604,1,1
30,Verified_Result.Safe,0.6339235305786133,1,1
31,Verified_Result.Safe,0.9931168556213379,3,2
32,Verified_Result.Safe,0.5629997253417969,1,1
33,Verified_Result.UnSafe,0.08424687385559082,0,0
34,Verified_Result.UnSafe,0.06621241569519043,0,0
35,Verified_Result.Safe,0.6292109489440918,1,1
36,Verified_Result.Safe,0.5667955875396729,1,1
37,Verified_Result.Safe,0.5365469455718994,1,1
39,Verified_Result.Safe,0.5711688995361328,1,1
40,Verified_Result.Safe,0.6210613250732422,1,1
41,Verified_Result.Safe,0.5908584594726562,1,1
42,Verified_Result.Safe,0.5701768398284912,1,1
43,Verified_Result.Safe,0.5045902729034424,1,1
44,Verified_Result.Safe,0.5247302055358887,1,1
45,Verified_Result.Safe,0.5705351829528809,1,1
46,Verified_Result.UnSafe,0.09749221801757812,0,0
47,Verified_Result.Safe,0.5568239688873291,1,1
48,Verified_Result.Safe,0.5835878849029541,1,1
49,Verified_Result.Safe,0.5394351482391357,1,1
50,Verified_Result.Safe,0.5958070755004883,1,1
51,Verified_Result.Safe,0.652306079864502,1,1
52,Verified_Result.Safe,0.5659496784210205,1,1
53,Verified_Result.Safe,0.5641427040100098,1,1
54,Verified_Result.Safe,0.5897488594055176,1,1
55,Verified_Result.Safe,0.5289158821105957,1,1
56,Verified_Result.Safe,0.6072118282318115,1,1
57,Verified_Result.Safe,0.5921063423156738,1,1
58,Verified_Result.Safe,0.606285572052002,1,1
59,Verified_Result.Unknow,4.487104654312134,29,6
60,Verified_Result.Safe,0.5576372146606445,1,1
61,Verified_Result.UnSafe,0.11171340942382812,0,0
62,Verified_Result.UnSafe,0.11199569702148438,0,0
63,Verified_Result.UnSafe,0.10185503959655762,0,0
64,Verified_Result.UnSafe,0.11837410926818848,0,0
65,Verified_Result.Unknow,2.66432523727417,19,8
67,Verified_Result.Safe,0.5579092502593994,1,1
68,Verified_Result.Safe,0.5634644031524658,1,1
69,Verified_Result.Safe,0.593245267868042,1,1
70,Verified_Result.Safe,0.631096363067627,1,1
71,Verified_Result.Safe,0.5758345127105713,1,1
72,Verified_Result.Safe,0.5912237167358398,1,1
74,Verified_Result.Safe,0.6629273891448975,1,1
75,Verified_Result.Safe,0.636157751083374,1,1
76,Verified_Result.Safe,0.6079192161560059,1,1
77,Verified_Result.Safe,0.6072952747344971,1,1
78,Verified_Result.UnSafe,0.1293041706085205,0,0
79,Verified_Result.Safe,0.5711095333099365,1,1
80,Verified_Result.Safe,0.5622806549072266,1,1
81,Verified_Result.Safe,0.542370080947876,1,1
82,Verified_Result.Safe,0.551628828048706,1,1
83,Verified_Result.Safe,0.5218303203582764,1,1
84,Verified_Result.UnSafe,0.09206247329711914,0,0
85,Verified_Result.Safe,0.5739574432373047,1,1
86,Verified_Result.Safe,0.5724008083343506,1,1
87,Verified_Result.UnSafe,0.09017753601074219,0,0
88,Verified_Result.Safe,0.6326746940612793,1,1
89,Verified_Result.Safe,0.5753939151763916,1,1
90,Verified_Result.Safe,0.6003239154815674,1,1
91,Verified_Result.Safe,0.5585274696350098,1,1
92,Verified_Result.UnSafe,0.1057436466217041,0,0
93,Verified_Result.Safe,0.5639982223510742,1,1
94,Verified_Result.Safe,0.572432279586792,1,1
95,Verified_Result.Safe,0.6042687892913818,1,1
96,Verified_Result.Safe,0.5913388729095459,1,1
97,Verified_Result.Safe,0.5586097240447998,1,1
98,Verified_Result.Safe,0.5932495594024658,1,1
99,Verified_Result.Safe,0.6138482093811035,1,1
