Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,1.2150652408599854,1,1
1,Verified_Result.Safe,1.0252234935760498,1,1
2,Verified_Result.Safe,43.05160975456238,81,16
3,Verified_Result.Safe,0.8531713485717773,1,1
4,Verified_Result.Safe,0.9917795658111572,1,1
5,Verified_Result.Safe,1.0090641975402832,1,1
6,Verified_Result.Safe,1.0156316757202148,1,1
7,Verified_Result.Safe,1.3207104206085205,1,1
8,Verified_Result.Safe,1.0937142372131348,1,1
9,Verified_Result.Safe,1.193103551864624,1,1
10,Verified_Result.Safe,1.7801823616027832,1,1
11,Verified_Result.Safe,1.2257099151611328,1,1
12,Verified_Result.Safe,1.2859902381896973,1,1
13,Verified_Result.Safe,1.2028439044952393,1,1
14,Verified_Result.Safe,1.1711394786834717,1,1
15,Verified_Result.Safe,1.130098581314087,1,1
16,Verified_Result.Safe,1.1524426937103271,1,1
17,Verified_Result.Safe,1.1719598770141602,1,1
18,Verified_Result.UnSafe,0.08706355094909668,0,0
19,Verified_Result.Safe,1.1667978763580322,1,1
20,Verified_Result.Safe,1.1460366249084473,1,1
21,Verified_Result.Safe,1.1385598182678223,1,1
22,Verified_Result.Safe,0.9442906379699707,1,1
23,Verified_Result.Safe,1.0436437129974365,1,1
24,Verified_Result.Safe,0.9459121227264404,1,1
25,Verified_Result.Safe,0.9413583278656006,1,1
26,Verified_Result.Safe,0.9444756507873535,1,1
27,Verified_Result.Safe,0.9582688808441162,1,1
28,Verified_Result.Safe,1.0648353099822998,1,1
29,Verified_Result.Safe,1.004687786102295,1,1
30,Verified_Result.Safe,0.9531669616699219,1,1
31,Verified_Result.Unknow,789.9682123661041,2711,1029
32,Verified_Result.Safe,0.8068091869354248,1,1
33,Verified_Result.Safe,0.8445496559143066,1,1
34,Verified_Result.Safe,0.9395256042480469,1,1
35,Verified_Result.Safe,0.8541224002838135,1,1
36,Verified_Result.Safe,0.8865728378295898,1,1
37,Verified_Result.Safe,0.8896310329437256,1,1
39,Verified_Result.Safe,0.8593060970306396,1,1
40,Verified_Result.Safe,102.32080698013306,217,42
41,Verified_Result.Safe,0.8207252025604248,1,1
42,Verified_Result.Safe,0.8665018081665039,1,1
43,Verified_Result.UnSafe,0.09891414642333984,0,0
44,Verified_Result.Safe,0.8054471015930176,1,1
45,Verified_Result.Safe,0.849595308303833,1,1
46,Verified_Result.Safe,0.825972318649292,1,1
47,Verified_Result.Safe,0.8358035087585449,1,1
48,Verified_Result.Safe,0.8230154514312744,1,1
49,Verified_Result.Safe,0.7900238037109375,1,1
50,Verified_Result.Safe,0.8033280372619629,1,1
51,Verified_Result.Safe,0.7831611633300781,1,1
52,Verified_Result.Safe,0.869638204574585,1,1
53,Verified_Result.Safe,0.8054759502410889,1,1
54,Verified_Result.Safe,0.761948823928833,1,1
55,Verified_Result.Safe,0.837775707244873,1,1
56,Verified_Result.Safe,0.7857682704925537,1,1
57,Verified_Result.Safe,0.8552882671356201,1,1
58,Verified_Result.Safe,0.8607275485992432,1,1
59,Verified_Result.Safe,3.373628616333008,7,2
60,Verified_Result.Safe,0.7795312404632568,1,1
61,Verified_Result.Unknow,790.6631622314453,2495,949
62,Verified_Result.UnSafe,0.16692614555358887,0,0
63,Verified_Result.Safe,1.2439672946929932,1,1
64,Verified_Result.Safe,0.9260423183441162,1,1
66,Verified_Result.Unknow,457.8511004447937,1297,403
67,Verified_Result.Safe,1.0357182025909424,1,1
68,Verified_Result.Safe,1.120220422744751,1,1
69,Verified_Result.Safe,0.8910784721374512,1,1
70,Verified_Result.Safe,1.019242525100708,1,1
71,Verified_Result.Safe,2.1651248931884766,1,1
72,Verified_Result.Safe,1.3263685703277588,1,1
73,Verified_Result.Safe,0.9951004981994629,1,1
74,Verified_Result.Safe,1.1927580833435059,1,1
75,Verified_Result.Safe,1.0240302085876465,1,1
76,Verified_Result.Safe,1.2285892963409424,1,1
77,Verified_Result.Safe,1.8465325832366943,1,1
78,Verified_Result.Safe,331.79418897628784,557,81
79,Verified_Result.Safe,1.0953664779663086,1,1
80,Verified_Result.Safe,1.1000075340270996,1,1
81,Verified_Result.Safe,1.0589468479156494,1,1
82,Verified_Result.Safe,1.2571427822113037,1,1
83,Verified_Result.Safe,1.1020104885101318,1,1
84,Verified_Result.Safe,1.1003491878509521,1,1
85,Verified_Result.Safe,1.1198675632476807,1,1
86,Verified_Result.Safe,1.161130428314209,1,1
87,Verified_Result.Safe,1.001502275466919,1,1
88,Verified_Result.Safe,1.0565838813781738,1,1
89,Verified_Result.Safe,1.1403329372406006,1,1
90,Verified_Result.Safe,1.0814001560211182,1,1
91,Verified_Result.Safe,1.101445198059082,1,1
93,Verified_Result.Safe,1.134397268295288,1,1
94,Verified_Result.Safe,1.1421236991882324,1,1
95,Verified_Result.Safe,1.0890355110168457,1,1
96,Verified_Result.UnSafe,0.11973738670349121,0,0
97,Verified_Result.Safe,1.1202256679534912,1,1
98,Verified_Result.Safe,1.0588712692260742,1,1
99,Verified_Result.Safe,1.0879006385803223,1,1
