Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,1.170037031173706,1,1
1,Verified_Result.Safe,0.8052544593811035,1,1
2,Verified_Result.Safe,1.5317134857177734,1,1
3,Verified_Result.Safe,1.0542867183685303,1,1
4,Verified_Result.Safe,0.9409871101379395,1,1
5,Verified_Result.Safe,1.0675647258758545,1,1
6,Verified_Result.Safe,0.98093581199646,1,1
7,Verified_Result.Safe,0.9882900714874268,1,1
9,Verified_Result.Safe,0.9580457210540771,1,1
10,Verified_Result.Safe,1.185809850692749,1,1
11,Verified_Result.Safe,1.8407466411590576,1,1
12,Verified_Result.Safe,1.6413469314575195,1,1
13,Verified_Result.Safe,0.9167070388793945,1,1
14,Verified_Result.Safe,1.1212904453277588,1,1
15,Verified_Result.Safe,0.9285697937011719,1,1
16,Verified_Result.Safe,1.159557819366455,1,1
17,Verified_Result.Safe,0.8955585956573486,1,1
18,Verified_Result.Safe,0.984128475189209,1,1
19,Verified_Result.Safe,0.7972102165222168,1,1
20,Verified_Result.Safe,0.946040153503418,1,1
21,Verified_Result.Safe,0.829763650894165,1,1
22,Verified_Result.Safe,0.7714290618896484,1,1
23,Verified_Result.Safe,0.7833452224731445,1,1
24,Verified_Result.Safe,0.8942139148712158,1,1
25,Verified_Result.Safe,0.8140788078308105,1,1
26,Verified_Result.Safe,1.0690901279449463,1,1
27,Verified_Result.Safe,0.7661149501800537,1,1
28,Verified_Result.Safe,0.6161830425262451,1,1
29,Verified_Result.Safe,0.624887228012085,1,1
30,Verified_Result.Safe,0.6900174617767334,1,1
31,Verified_Result.Safe,0.6265659332275391,1,1
32,Verified_Result.Safe,0.6928482055664062,1,1
34,Verified_Result.Safe,0.7125959396362305,1,1
35,Verified_Result.Safe,0.5782737731933594,1,1
36,Verified_Result.Safe,0.6641983985900879,1,1
37,Verified_Result.Safe,0.7617805004119873,1,1
38,Verified_Result.Unknow,247.74283266067505,1337,583
39,Verified_Result.Safe,0.8183300495147705,1,1
40,Verified_Result.Safe,0.8798890113830566,1,1
41,Verified_Result.Safe,0.7930281162261963,1,1
42,Verified_Result.Safe,0.8004393577575684,1,1
43,Verified_Result.Safe,0.7824177742004395,1,1
44,Verified_Result.Safe,0.7599442005157471,1,1
45,Verified_Result.Safe,0.9068019390106201,1,1
46,Verified_Result.Safe,0.7591276168823242,1,1
47,Verified_Result.Safe,0.8458089828491211,1,1
48,Verified_Result.Safe,0.7947571277618408,1,1
49,Verified_Result.Safe,0.7881684303283691,1,1
50,Verified_Result.Safe,0.7978708744049072,1,1
51,Verified_Result.Safe,0.8068768978118896,1,1
52,Verified_Result.Safe,0.9017558097839355,1,1
53,Verified_Result.Safe,0.8021457195281982,1,1
54,Verified_Result.Safe,0.8657650947570801,1,1
55,Verified_Result.Safe,0.7526962757110596,1,1
56,Verified_Result.Safe,1.2487149238586426,1,1
57,Verified_Result.Safe,0.9967491626739502,1,1
58,Verified_Result.Safe,0.840609073638916,1,1
59,Verified_Result.Safe,0.7854087352752686,1,1
60,Verified_Result.Safe,1.1231539249420166,1,1
61,Verified_Result.UnSafe,0.15456891059875488,0,0
62,Verified_Result.Unknow,449.0892651081085,2259,1029
63,Verified_Result.Safe,1.306750774383545,1,1
64,Verified_Result.Safe,0.9423031806945801,1,1
65,Verified_Result.UnSafe,0.19259166717529297,0,0
66,Verified_Result.Safe,0.97397780418396,1,1
67,Verified_Result.Safe,0.9596755504608154,1,1
68,Verified_Result.Safe,0.9027328491210938,1,1
69,Verified_Result.Safe,0.7252142429351807,1,1
70,Verified_Result.Safe,0.8176593780517578,1,1
71,Verified_Result.Safe,0.7466118335723877,1,1
72,Verified_Result.Safe,0.8121945858001709,1,1
73,Verified_Result.Safe,0.8075308799743652,1,1
74,Verified_Result.Safe,0.8339512348175049,1,1
75,Verified_Result.Safe,0.7823352813720703,1,1
76,Verified_Result.Safe,0.8672237396240234,1,1
77,Verified_Result.Safe,1.0654950141906738,1,1
78,Verified_Result.Safe,1.1446642875671387,1,1
79,Verified_Result.Safe,1.9112255573272705,1,1
80,Verified_Result.Unknow,316.1005575656891,921,160
81,Verified_Result.Safe,1.82258939743042,1,1
82,Verified_Result.Safe,1.459062099456787,1,1
83,Verified_Result.Safe,1.3948798179626465,1,1
84,Verified_Result.Safe,1.418278455734253,1,1
85,Verified_Result.Safe,1.3737432956695557,1,1
86,Verified_Result.Safe,1.4901978969573975,1,1
87,Verified_Result.Safe,1.930790662765503,1,1
88,Verified_Result.Safe,2.2529561519622803,1,1
89,Verified_Result.Safe,1.6029541492462158,1,1
90,Verified_Result.Safe,1.1339316368103027,1,1
91,Verified_Result.Safe,1.0320258140563965,1,1
92,Verified_Result.Safe,0.9235050678253174,1,1
93,Verified_Result.Safe,1.1081180572509766,1,1
94,Verified_Result.Safe,0.9034202098846436,1,1
95,Verified_Result.UnSafe,0.22879791259765625,0,0
96,Verified_Result.UnSafe,0.12848424911499023,0,0
97,Verified_Result.Safe,1.4552650451660156,1,1
98,Verified_Result.Safe,0.9748828411102295,1,1
99,Verified_Result.Safe,0.8767540454864502,1,1
