Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.7858161926269531,1,1
1,Verified_Result.Safe,0.6953830718994141,1,1
2,Verified_Result.Safe,0.7209181785583496,1,1
3,Verified_Result.Safe,0.6109564304351807,1,1
4,Verified_Result.Safe,1.1438910961151123,3,2
5,Verified_Result.Safe,0.6401214599609375,1,1
6,Verified_Result.Safe,0.6978719234466553,1,1
7,Verified_Result.Safe,0.6414046287536621,1,1
8,Verified_Result.Safe,0.6756994724273682,1,1
9,Verified_Result.Safe,0.6383476257324219,1,1
10,Verified_Result.Safe,0.6305713653564453,1,1
11,Verified_Result.Safe,0.6367878913879395,1,1
12,Verified_Result.Safe,0.6614627838134766,1,1
13,Verified_Result.Safe,0.7312624454498291,1,1
14,Verified_Result.Safe,0.6170973777770996,1,1
15,Verified_Result.Safe,0.633538007736206,1,1
16,Verified_Result.Safe,0.6919100284576416,1,1
17,Verified_Result.Safe,0.7852435111999512,1,1
19,Verified_Result.Safe,0.7753477096557617,1,1
21,Verified_Result.Safe,0.7677795886993408,1,1
22,Verified_Result.Safe,0.7321040630340576,1,1
23,Verified_Result.Safe,0.7483937740325928,1,1
24,Verified_Result.Safe,0.7621335983276367,1,1
25,Verified_Result.Safe,0.7747740745544434,1,1
26,Verified_Result.Safe,0.7429149150848389,1,1
27,Verified_Result.Safe,0.7569785118103027,1,1
28,Verified_Result.Safe,0.7873373031616211,1,1
29,Verified_Result.Safe,0.7843585014343262,1,1
30,Verified_Result.Safe,0.7480692863464355,1,1
31,Verified_Result.Safe,0.7412328720092773,1,1
32,Verified_Result.Safe,0.7713074684143066,1,1
33,Verified_Result.UnSafe,0.10149621963500977,0,0
34,Verified_Result.Safe,0.783961296081543,1,1
35,Verified_Result.Safe,0.6840617656707764,1,1
36,Verified_Result.Safe,0.7602131366729736,1,1
37,Verified_Result.Safe,0.9600870609283447,1,1
39,Verified_Result.Safe,0.9077243804931641,1,1
40,Verified_Result.Unknow,56.29048156738281,271,89
41,Verified_Result.Safe,0.7691168785095215,1,1
42,Verified_Result.Safe,1.8245580196380615,3,2
43,Verified_Result.Safe,0.6570661067962646,1,1
44,Verified_Result.Safe,0.9415929317474365,1,1
45,Verified_Result.Safe,0.9948854446411133,1,1
46,Verified_Result.Safe,1.4144656658172607,1,1
47,Verified_Result.Safe,1.1771247386932373,1,1
48,Verified_Result.Safe,1.083287000656128,1,1
49,Verified_Result.Safe,0.9125735759735107,1,1
50,Verified_Result.Safe,0.9055373668670654,1,1
51,Verified_Result.Safe,0.8391261100769043,1,1
52,Verified_Result.Safe,0.8745162487030029,1,1
53,Verified_Result.Safe,0.8407242298126221,1,1
54,Verified_Result.Safe,0.8101062774658203,1,1
55,Verified_Result.Safe,0.8558664321899414,1,1
56,Verified_Result.Safe,0.8026087284088135,1,1
57,Verified_Result.Safe,0.8549673557281494,1,1
58,Verified_Result.Safe,0.8558852672576904,1,1
59,Verified_Result.Safe,0.757824182510376,1,1
60,Verified_Result.Safe,0.7210400104522705,1,1
62,Verified_Result.UnSafe,0.1180565357208252,0,0
63,Verified_Result.UnSafe,0.11109423637390137,0,0
64,Verified_Result.Safe,0.8160855770111084,1,1
65,Verified_Result.Unknow,37.271958351135254,189,73
66,Verified_Result.Safe,11.006616115570068,43,10
67,Verified_Result.Safe,0.9419944286346436,1,1
68,Verified_Result.Safe,0.8256750106811523,1,1
69,Verified_Result.Safe,0.9422571659088135,1,1
70,Verified_Result.Safe,0.8174653053283691,1,1
71,Verified_Result.Safe,0.8708267211914062,1,1
72,Verified_Result.Safe,0.9329547882080078,1,1
73,Verified_Result.Safe,0.8494970798492432,1,1
74,Verified_Result.Safe,0.7895405292510986,1,1
75,Verified_Result.Safe,0.8817534446716309,1,1
76,Verified_Result.Safe,0.9490368366241455,1,1
77,Verified_Result.Safe,0.9261648654937744,1,1
78,Verified_Result.Safe,0.8578493595123291,1,1
79,Verified_Result.Safe,0.865776538848877,1,1
80,Verified_Result.Safe,0.9776177406311035,1,1
81,Verified_Result.Safe,1.0626578330993652,1,1
82,Verified_Result.Safe,0.992534875869751,1,1
83,Verified_Result.Safe,0.9791929721832275,1,1
84,Verified_Result.Safe,0.9330966472625732,1,1
85,Verified_Result.Safe,0.9222164154052734,1,1
86,Verified_Result.Safe,0.9386487007141113,1,1
87,Verified_Result.Safe,9.3041410446167,33,11
88,Verified_Result.Safe,0.767256498336792,1,1
89,Verified_Result.Safe,0.7568261623382568,1,1
90,Verified_Result.Safe,0.8109645843505859,1,1
91,Verified_Result.Safe,0.9378323554992676,1,1
92,Verified_Result.UnSafe,0.14206552505493164,0,0
93,Verified_Result.Safe,0.8815667629241943,1,1
94,Verified_Result.Safe,0.9031813144683838,1,1
96,Verified_Result.UnSafe,0.17693448066711426,0,0
97,Verified_Result.Safe,0.834770679473877,1,1
98,Verified_Result.Safe,0.8515217304229736,1,1
99,Verified_Result.Safe,0.8176815509796143,1,1
