Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.8355576992034912,1,1
1,Verified_Result.Safe,0.6845531463623047,1,1
2,Verified_Result.Safe,0.7539935111999512,1,1
3,Verified_Result.Safe,0.6678071022033691,1,1
4,Verified_Result.Safe,0.7176976203918457,1,1
5,Verified_Result.Safe,0.7087264060974121,1,1
6,Verified_Result.Unknow,41.35223436355591,187,67
7,Verified_Result.Safe,0.6322386264801025,1,1
8,Verified_Result.Safe,46.21575903892517,155,40
9,Verified_Result.Safe,0.6619992256164551,1,1
10,Verified_Result.Safe,0.5982236862182617,1,1
11,Verified_Result.Safe,0.5565831661224365,1,1
12,Verified_Result.Safe,0.6852521896362305,1,1
13,Verified_Result.Safe,0.5759634971618652,1,1
14,Verified_Result.Safe,0.600252628326416,1,1
15,Verified_Result.Safe,0.5909297466278076,1,1
16,Verified_Result.Safe,0.6379234790802002,1,1
17,Verified_Result.Safe,0.6104230880737305,1,1
19,Verified_Result.Safe,0.6020214557647705,1,1
20,Verified_Result.Safe,0.6038167476654053,1,1
21,Verified_Result.Safe,0.6044397354125977,1,1
22,Verified_Result.Safe,0.5644199848175049,1,1
23,Verified_Result.Safe,0.6269099712371826,1,1
24,Verified_Result.Safe,0.5905499458312988,1,1
25,Verified_Result.Safe,0.56636643409729,1,1
26,Verified_Result.Safe,45.62446570396423,171,46
27,Verified_Result.Safe,0.7266862392425537,1,1
28,Verified_Result.Safe,0.7382819652557373,1,1
29,Verified_Result.Safe,2.68376088142395,7,4
30,Verified_Result.Safe,0.705420970916748,1,1
31,Verified_Result.Unknow,1006.5619342327118,3563,1029
32,Verified_Result.Safe,1.387317180633545,1,1
33,Verified_Result.Unknow,285.04868960380554,1013,76
34,Verified_Result.Safe,0.7415287494659424,1,1
35,Verified_Result.Safe,0.6806454658508301,1,1
36,Verified_Result.Safe,0.7094264030456543,1,1
37,Verified_Result.Safe,0.7201147079467773,1,1
38,Verified_Result.Safe,29.72848129272461,93,12
39,Verified_Result.Safe,0.676257848739624,1,1
40,Verified_Result.Unknow,1401.0312523841858,5001,982
41,Verified_Result.Safe,0.8496501445770264,1,1
42,Verified_Result.Safe,0.8581311702728271,1,1
43,Verified_Result.UnSafe,0.14664101600646973,0,0
44,Verified_Result.Safe,0.6901259422302246,1,1
45,Verified_Result.Safe,0.7180945873260498,1,1
46,Verified_Result.Safe,0.6444740295410156,1,1
47,Verified_Result.Safe,0.6431591510772705,1,1
48,Verified_Result.Safe,0.6755292415618896,1,1
49,Verified_Result.Safe,0.6447138786315918,1,1
50,Verified_Result.Safe,0.6965298652648926,1,1
51,Verified_Result.Safe,0.6621160507202148,1,1
52,Verified_Result.Safe,0.6685769557952881,1,1
53,Verified_Result.Safe,0.6843392848968506,1,1
54,Verified_Result.Safe,0.6246609687805176,1,1
55,Verified_Result.Safe,0.7039411067962646,1,1
56,Verified_Result.Safe,0.6528470516204834,1,1
57,Verified_Result.Safe,0.68251633644104,1,1
58,Verified_Result.Safe,0.6617918014526367,1,1
59,Verified_Result.Safe,0.6600973606109619,1,1
60,Verified_Result.Safe,0.6167914867401123,1,1
61,Verified_Result.Safe,0.6647357940673828,1,1
62,Verified_Result.Unknow,390.9953191280365,2057,1029
63,Verified_Result.Safe,1.1502983570098877,1,1
64,Verified_Result.Safe,1.070847988128662,1,1
65,Verified_Result.Unknow,434.92985105514526,2057,1029
66,Verified_Result.Safe,0.8317584991455078,1,1
67,Verified_Result.Safe,0.8710072040557861,1,1
68,Verified_Result.Safe,0.8901801109313965,1,1
69,Verified_Result.Safe,0.7962629795074463,1,1
70,Verified_Result.Safe,0.7941672801971436,1,1
71,Verified_Result.Safe,0.7901997566223145,1,1
72,Verified_Result.Safe,0.7720358371734619,1,1
73,Verified_Result.Safe,0.8639166355133057,1,1
74,Verified_Result.Safe,0.9323890209197998,1,1
75,Verified_Result.Safe,0.8517634868621826,1,1
76,Verified_Result.Safe,1.0515546798706055,1,1
77,Verified_Result.Safe,0.9744753837585449,1,1
78,Verified_Result.Safe,1.1200072765350342,1,1
79,Verified_Result.Safe,0.8054380416870117,1,1
80,Verified_Result.Safe,0.8240351676940918,1,1
81,Verified_Result.Safe,0.831594705581665,1,1
82,Verified_Result.Safe,0.751793622970581,1,1
83,Verified_Result.Safe,0.8157052993774414,1,1
84,Verified_Result.Safe,1.1432993412017822,1,1
85,Verified_Result.Safe,0.9223151206970215,1,1
86,Verified_Result.Safe,0.8157525062561035,1,1
87,Verified_Result.Safe,0.803178071975708,1,1
88,Verified_Result.Safe,0.8195841312408447,1,1
89,Verified_Result.Safe,0.8146989345550537,1,1
90,Verified_Result.Safe,0.8145754337310791,1,1
91,Verified_Result.Safe,1.0512182712554932,1,1
92,Verified_Result.UnSafe,0.16942882537841797,0,0
93,Verified_Result.Safe,0.8551483154296875,1,1
94,Verified_Result.Safe,0.8573896884918213,1,1
95,Verified_Result.Safe,0.8178656101226807,1,1
96,Verified_Result.Unknow,441.2857460975647,1867,716
97,Verified_Result.Safe,0.9308090209960938,1,1
98,Verified_Result.Safe,0.8482246398925781,1,1
99,Verified_Result.Safe,0.8329524993896484,1,1
