Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.7704315185546875,1,1
1,Verified_Result.Safe,0.6967885494232178,1,1
2,Verified_Result.Safe,0.6524755954742432,1,1
3,Verified_Result.Safe,1.0096755027770996,1,1
4,Verified_Result.Safe,0.5304677486419678,1,1
5,Verified_Result.Safe,0.5596137046813965,1,1
6,Verified_Result.Safe,0.5171849727630615,1,1
7,Verified_Result.Safe,0.5685975551605225,1,1
9,Verified_Result.Safe,0.5410284996032715,1,1
10,Verified_Result.Safe,0.5553708076477051,1,1
11,Verified_Result.Safe,1.1109280586242676,1,1
12,Verified_Result.Safe,1.446563959121704,1,1
13,Verified_Result.Safe,0.7933177947998047,1,1
14,Verified_Result.Safe,0.7809882164001465,1,1
15,Verified_Result.UnSafe,0.08844852447509766,0,0
16,Verified_Result.Safe,0.6241168975830078,1,1
17,Verified_Result.Safe,0.611497163772583,1,1
19,Verified_Result.Safe,0.6914763450622559,1,1
20,Verified_Result.Safe,0.5496034622192383,1,1
21,Verified_Result.Safe,0.6104986667633057,1,1
22,Verified_Result.Safe,0.5374252796173096,1,1
23,Verified_Result.Safe,0.5918684005737305,1,1
24,Verified_Result.Unknow,5.53133487701416,47,23
25,Verified_Result.Safe,0.5692753791809082,1,1
26,Verified_Result.Safe,0.599064826965332,1,1
27,Verified_Result.Safe,0.626600980758667,1,1
28,Verified_Result.Safe,0.6166064739227295,1,1
29,Verified_Result.Safe,0.6314935684204102,1,1
30,Verified_Result.Safe,0.5870926380157471,1,1
31,Verified_Result.Safe,0.615577220916748,1,1
32,Verified_Result.Safe,0.5794329643249512,1,1
34,Verified_Result.Safe,0.5826511383056641,1,1
35,Verified_Result.Safe,0.6047484874725342,1,1
36,Verified_Result.Safe,0.5718724727630615,1,1
37,Verified_Result.Safe,0.6449289321899414,1,1
38,Verified_Result.UnSafe,0.10497379302978516,0,0
39,Verified_Result.Safe,0.5933198928833008,1,1
40,Verified_Result.Safe,0.6293561458587646,1,1
41,Verified_Result.Unknow,4.381056547164917,27,9
42,Verified_Result.UnSafe,0.13874125480651855,0,0
43,Verified_Result.Safe,0.6097218990325928,1,1
44,Verified_Result.Safe,0.5693464279174805,1,1
45,Verified_Result.Safe,0.5901198387145996,1,1
46,Verified_Result.UnSafe,0.10258841514587402,0,0
47,Verified_Result.Safe,0.6134092807769775,1,1
48,Verified_Result.UnSafe,0.11977624893188477,0,0
49,Verified_Result.Safe,0.5992743968963623,1,1
50,Verified_Result.Safe,0.6041641235351562,1,1
51,Verified_Result.Safe,0.546471118927002,1,1
52,Verified_Result.Safe,0.6659209728240967,1,1
53,Verified_Result.Safe,0.7087712287902832,1,1
54,Verified_Result.Safe,0.5460710525512695,1,1
55,Verified_Result.Safe,0.553802490234375,1,1
56,Verified_Result.Safe,0.584801435470581,1,1
57,Verified_Result.Safe,0.5393788814544678,1,1
58,Verified_Result.Safe,0.697761058807373,1,1
59,Verified_Result.UnSafe,0.12912917137145996,0,0
60,Verified_Result.Safe,0.6217296123504639,1,1
61,Verified_Result.Safe,0.6136815547943115,1,1
62,Verified_Result.UnSafe,0.10309052467346191,0,0
64,Verified_Result.Safe,0.5636627674102783,1,1
65,Verified_Result.UnSafe,0.10002613067626953,0,0
66,Verified_Result.UnSafe,0.09080266952514648,0,0
67,Verified_Result.Safe,0.55954909324646,1,1
68,Verified_Result.Safe,0.5468590259552002,1,1
69,Verified_Result.Safe,0.5521140098571777,1,1
70,Verified_Result.Safe,0.5683789253234863,1,1
71,Verified_Result.Safe,0.5762341022491455,1,1
72,Verified_Result.Safe,0.5996203422546387,1,1
73,Verified_Result.UnSafe,0.13844752311706543,0,0
74,Verified_Result.Safe,0.6763930320739746,1,1
75,Verified_Result.Safe,0.6573662757873535,1,1
76,Verified_Result.Safe,0.5699858665466309,1,1
77,Verified_Result.Safe,0.5911087989807129,1,1
78,Verified_Result.UnSafe,0.10898256301879883,0,0
79,Verified_Result.Safe,0.7626888751983643,1,1
80,Verified_Result.UnSafe,0.12408828735351562,0,0
81,Verified_Result.Safe,0.5928816795349121,1,1
82,Verified_Result.Safe,0.6242375373840332,1,1
83,Verified_Result.Safe,0.6598801612854004,1,1
84,Verified_Result.Safe,0.7512924671173096,1,1
85,Verified_Result.Safe,0.6475532054901123,1,1
86,Verified_Result.Safe,0.6870474815368652,1,1
88,Verified_Result.Safe,0.6733698844909668,1,1
89,Verified_Result.Safe,0.7057554721832275,1,1
90,Verified_Result.Safe,0.8592967987060547,1,1
91,Verified_Result.Safe,0.7549653053283691,1,1
92,Verified_Result.UnSafe,0.10249042510986328,0,0
93,Verified_Result.Safe,0.7660551071166992,1,1
94,Verified_Result.Safe,0.8032708168029785,1,1
95,Verified_Result.Safe,0.7400524616241455,1,1
96,Verified_Result.Safe,5.348618030548096,27,7
98,Verified_Result.Safe,0.5800607204437256,1,1
99,Verified_Result.Safe,0.5659997463226318,1,1
