Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.565497875213623,1,1
1,Verified_Result.Safe,0.393970251083374,1,1
2,Verified_Result.Safe,0.40467047691345215,1,1
3,Verified_Result.Safe,0.45136165618896484,1,1
4,Verified_Result.Safe,0.4001121520996094,1,1
5,Verified_Result.Safe,0.4297525882720947,1,1
6,Verified_Result.Safe,0.686044454574585,3,2
7,Verified_Result.Safe,0.4238240718841553,1,1
8,Verified_Result.UnSafe,0.09314751625061035,0,0
9,Verified_Result.Safe,0.5561907291412354,1,1
10,Verified_Result.Safe,0.7668321132659912,1,1
11,Verified_Result.Safe,0.5276179313659668,1,1
12,Verified_Result.Safe,0.5577678680419922,1,1
13,Verified_Result.Safe,0.6285014152526855,1,1
14,Verified_Result.Safe,0.5615108013153076,1,1
15,Verified_Result.Safe,0.5462741851806641,1,1
16,Verified_Result.Safe,0.6030020713806152,1,1
17,Verified_Result.Safe,0.5212609767913818,1,1
18,Verified_Result.UnSafe,0.10629153251647949,0,0
19,Verified_Result.Safe,0.5326225757598877,1,1
20,Verified_Result.Safe,0.5115678310394287,1,1
21,Verified_Result.Safe,0.5366437435150146,1,1
22,Verified_Result.Safe,0.4718170166015625,1,1
23,Verified_Result.Safe,0.644007682800293,1,1
24,Verified_Result.Unknow,3.3622779846191406,23,5
25,Verified_Result.Safe,0.6500475406646729,1,1
26,Verified_Result.Safe,0.5781576633453369,1,1
27,Verified_Result.Safe,0.5125217437744141,1,1
28,Verified_Result.Safe,0.5709259510040283,1,1
29,Verified_Result.Safe,0.4860799312591553,1,1
30,Verified_Result.Safe,0.5638387203216553,1,1
31,Verified_Result.Safe,0.525170087814331,1,1
32,Verified_Result.Safe,0.5392904281616211,1,1
33,Verified_Result.UnSafe,0.10784745216369629,0,0
34,Verified_Result.Safe,0.5651640892028809,1,1
35,Verified_Result.Safe,0.5482010841369629,1,1
36,Verified_Result.Safe,0.4969825744628906,1,1
37,Verified_Result.Safe,0.6016056537628174,1,1
38,Verified_Result.Safe,0.5545997619628906,1,1
39,Verified_Result.Safe,0.5352826118469238,1,1
40,Verified_Result.Safe,0.5210270881652832,1,1
41,Verified_Result.Safe,0.5234787464141846,1,1
42,Verified_Result.UnSafe,0.11901688575744629,0,0
43,Verified_Result.Safe,0.5110464096069336,1,1
44,Verified_Result.Safe,0.6232459545135498,1,1
45,Verified_Result.Safe,0.5849905014038086,1,1
46,Verified_Result.UnSafe,0.13431549072265625,0,0
47,Verified_Result.Safe,0.6744959354400635,1,1
48,Verified_Result.Safe,0.7206621170043945,1,1
49,Verified_Result.Safe,0.5553252696990967,1,1
50,Verified_Result.Safe,0.550736665725708,1,1
51,Verified_Result.Safe,0.5473873615264893,1,1
52,Verified_Result.Safe,0.5186440944671631,1,1
53,Verified_Result.Safe,0.5354397296905518,1,1
54,Verified_Result.Safe,0.49457669258117676,1,1
55,Verified_Result.Safe,0.5256235599517822,1,1
56,Verified_Result.Safe,0.5465221405029297,1,1
57,Verified_Result.Safe,0.5551276206970215,1,1
58,Verified_Result.Safe,0.5714683532714844,1,1
59,Verified_Result.Safe,0.5828626155853271,1,1
60,Verified_Result.Safe,0.49512505531311035,1,1
61,Verified_Result.Safe,0.5630409717559814,1,1
62,Verified_Result.UnSafe,0.11713886260986328,0,0
63,Verified_Result.UnSafe,0.09938383102416992,0,0
64,Verified_Result.Safe,0.5990810394287109,1,1
65,Verified_Result.Safe,1.327683925628662,7,4
67,Verified_Result.Safe,0.553494930267334,1,1
68,Verified_Result.Safe,0.5408215522766113,1,1
69,Verified_Result.Safe,0.5521957874298096,1,1
70,Verified_Result.Safe,0.5408644676208496,1,1
71,Verified_Result.Safe,0.6168231964111328,1,1
72,Verified_Result.Safe,0.5231964588165283,1,1
73,Verified_Result.Safe,0.4358494281768799,1,1
74,Verified_Result.Safe,0.4178476333618164,1,1
75,Verified_Result.Safe,0.42307519912719727,1,1
76,Verified_Result.Safe,0.46953749656677246,1,1
77,Verified_Result.UnSafe,0.08764362335205078,0,0
78,Verified_Result.UnSafe,0.07901310920715332,0,0
79,Verified_Result.Safe,0.43651604652404785,1,1
80,Verified_Result.Safe,0.4735865592956543,1,1
81,Verified_Result.Unknow,1.9424877166748047,13,3
82,Verified_Result.Safe,0.5501663684844971,1,1
83,Verified_Result.Safe,0.4137258529663086,1,1
84,Verified_Result.Safe,0.4377901554107666,1,1
85,Verified_Result.Safe,0.42513251304626465,1,1
86,Verified_Result.Safe,0.4368717670440674,1,1
87,Verified_Result.Safe,0.4916257858276367,1,1
88,Verified_Result.Safe,0.7179055213928223,1,1
89,Verified_Result.Safe,0.4054086208343506,1,1
90,Verified_Result.Safe,0.4361400604248047,1,1
91,Verified_Result.Safe,0.4239180088043213,1,1
93,Verified_Result.Safe,0.5291397571563721,1,1
94,Verified_Result.Safe,0.4837663173675537,1,1
95,Verified_Result.Safe,0.4867546558380127,1,1
96,Verified_Result.Safe,2.090425491333008,15,4
97,Verified_Result.UnSafe,0.08893918991088867,0,0
98,Verified_Result.Safe,0.4922325611114502,1,1
99,Verified_Result.Safe,0.4725158214569092,1,1
