Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,0.623023987,1,1
1,Verified_Result.Safe,0.486537933,1,1
2,Verified_Result.Safe,2.255372286,9,4
3,Verified_Result.Safe,0.543577671,1,1
4,Verified_Result.Safe,0.588587523,1,1
5,Verified_Result.Safe,0.574390411,1,1
6,Verified_Result.Safe,0.57753396,1,1
7,Verified_Result.Safe,0.578207493,1,1
8,Verified_Result.Safe,0.538909912,1,1
9,Verified_Result.Safe,0.58326149,1,1
10,Verified_Result.Safe,0.52934432,1,1
11,Verified_Result.Safe,0.608150959,1,1
12,Verified_Result.Safe,0.598887682,1,1
13,Verified_Result.Safe,0.60268116,1,1
14,Verified_Result.Safe,0.602443695,1,1
15,Verified_Result.Safe,0.577637672,1,1
16,Verified_Result.Safe,0.58406496,1,1
17,Verified_Result.Safe,0.60496521,1,1
18,Verified_Result.Safe,0.57167697,1,1
19,Verified_Result.Safe,0.527597427,1,1
20,Verified_Result.UnSafe,0.090612411,0,0
21,Verified_Result.Safe,0.520965338,1,1
22,Verified_Result.Safe,0.511638165,1,1
23,Verified_Result.Safe,0.532592297,1,1
24,Verified_Result.Safe,0.502463341,1,1
25,Verified_Result.Safe,0.509549618,1,1
26,Verified_Result.Safe,0.516658545,1,1
27,Verified_Result.Safe,0.513222218,1,1
28,Verified_Result.Safe,0.506719589,1,1
29,Verified_Result.Safe,0.553940058,1,1
30,Verified_Result.Safe,0.508690119,1,1
31,Verified_Result.Safe,0.529221535,1,1
32,Verified_Result.Safe,0.543803692,1,1
33,Verified_Result.Safe,0.500840902,1,1
34,Verified_Result.Safe,0.522548914,1,1
35,Verified_Result.Safe,0.529984713,1,1
36,Verified_Result.Safe,0.519550085,1,1
37,Verified_Result.Safe,0.5329566,1,1
38,Verified_Result.Unknow,24.61465096,121,34
39,Verified_Result.Safe,0.523549557,1,1
40,Verified_Result.Unknow,558.8250105,3203,1029
41,Verified_Result.Safe,1.007656336,1,1
42,Verified_Result.Safe,0.936178207,1,1
43,Verified_Result.Safe,0.615920305,1,1
44,Verified_Result.Safe,0.666579723,1,1
45,Verified_Result.Safe,0.71938777,1,1
46,Verified_Result.Safe,0.747020483,1,1
47,Verified_Result.Safe,0.68145299,1,1
48,Verified_Result.Safe,0.817882061,1,1
49,Verified_Result.Safe,0.940050602,1,1
50,Verified_Result.Safe,0.912635565,1,1
51,Verified_Result.Safe,0.980155945,1,1
52,Verified_Result.Safe,1.138661385,1,1
53,Verified_Result.Safe,1.102304697,1,1
54,Verified_Result.Safe,1.597426653,1,1
55,Verified_Result.Safe,1.80120492,1,1
56,Verified_Result.Safe,2.21110487,1,1
57,Verified_Result.Unknow,1011.685972,4297,894
58,Verified_Result.Safe,0.810793638,1,1
59,Verified_Result.Safe,0.765389204,1,1
60,Verified_Result.Safe,0.643501282,1,1
61,Verified_Result.UnSafe,0.099294186,0,0
62,Verified_Result.UnSafe,0.142402887,0,0
63,Verified_Result.Safe,0.688771009,1,1
64,Verified_Result.Safe,0.643738031,1,1
65,Verified_Result.Unknow,1214.77913,4757,476
66,Verified_Result.Safe,0.84190011,1,1
67,Verified_Result.Safe,0.812955618,1,1
68,Verified_Result.Safe,0.73782897,1,1
69,Verified_Result.Safe,0.620130539,1,1
70,Verified_Result.Safe,0.642657995,1,1
71,Verified_Result.Safe,0.631478548,1,1
72,Verified_Result.Safe,0.647151709,1,1
73,Verified_Result.Safe,0.657010794,1,1
74,Verified_Result.Safe,0.651613951,1,1
75,Verified_Result.Safe,0.647017479,1,1
76,Verified_Result.Safe,0.667011976,1,1
77,Verified_Result.Safe,0.678327322,1,1
78,Verified_Result.Safe,0.69852972,1,1
79,Verified_Result.Safe,0.657464743,1,1
80,Verified_Result.Safe,0.627453089,1,1
81,Verified_Result.Safe,0.682725906,1,1
82,Verified_Result.Safe,0.633816004,1,1
83,Verified_Result.Safe,0.636733294,1,1
84,Verified_Result.Safe,0.680187225,1,1
85,Verified_Result.Safe,0.619591951,1,1
86,Verified_Result.Safe,0.646308661,1,1
87,Verified_Result.Safe,0.637519598,1,1
88,Verified_Result.Safe,0.628656149,1,1
89,Verified_Result.Safe,0.633651495,1,1
90,Verified_Result.Safe,0.609304905,1,1
91,Verified_Result.Safe,0.618602991,1,1
92,Verified_Result.UnSafe,0.119530678,0,0
93,Verified_Result.Safe,0.685190201,1,1
94,Verified_Result.Safe,0.629137039,1,1
95,Verified_Result.Safe,0.61864233,1,1
96,Verified_Result.Safe,9.196316957,41,12
97,Verified_Result.Safe,0.503724575,1,1
98,Verified_Result.Safe,0.52166748,1,1
99,Verified_Result.Safe,0.707056761,1,1
